matrix,implementation,rows,cols,nnz,threads,blocks,time_min_ms,time_max_ms,time_avg_ms,time_geomean_ms,time_stddev_ms,gflopss_min,gflopss_max,gflopss_avg,gflopss_avg_geo,gflopss_std,bandwidth_min_gbs,bandwidth_max_gbs,bandwidth_avg_gbs,bandwidth_avg_gbs_geo,bandwidth_std,rmse_min,rmse_max,rmse_avg,rmse_geomean,rmse_stddev,raw_time_ms,raw_gflopss_ms,raw_bandwidth_gbs,raw_rmse
./Dataset/Ga41As41H72/Ga41As41H72.mtx,COO CPU,268096,268096,9378286,0,0,48.729000,64.553001,53.047497,52.795364,5.613126,0.290561,0.384916,0.356871,0.355269,0.034649,2.324486,3.079328,2.854969,2.842154,0.277194,0.000000,0.000000,0.000000,0.000000,0.000000,"48.752998;48.729000;48.983002;48.973000;48.751999;53.591000;51.380001;64.553001;57.248001;59.513000","0.384727;0.384916;0.382920;0.382998;0.384734;0.349995;0.365056;0.290561;0.327637;0.315168","3.077812;3.079328;3.063360;3.063986;3.077875;2.799958;2.920447;2.324486;2.621097;2.521341",""
./Dataset/Ga41As41H72/Ga41As41H72.mtx,COO NVDA,268096,268096,9378286,256,36634,12.400640,12.790784,12.621723,12.620825,0.158414,1.466413,1.512549,1.486266,1.486161,0.018726,11.731304,12.100390,11.890132,11.889284,0.149809,0.000035,0.000037,0.000036,0.000036,0.000000,"12.790784;12.780544;12.765184;12.735488;12.730368;12.578816;12.574720;12.446720;12.413952;12.400640","1.466413;1.467588;1.469354;1.472780;1.473372;1.491124;1.491609;1.506949;1.510927;1.512549","11.731304;11.740703;11.754830;11.782240;11.786979;11.928990;11.932876;12.055592;12.087414;12.100390","0.000036;0.000037;0.000036;0.000035;0.000036;0.000036;0.000036;0.000036;0.000036;0.000036"
./Dataset/Ga41As41H72/Ga41As41H72.mtx,COO cuSparse,268096,268096,9378286,0,0,3.400704,3.411904,3.403430,3.403429,0.003205,5.497392,5.515497,5.511083,5.511081,0.005180,43.979134,44.123978,44.088661,44.088646,0.041442,0.000026,0.000026,0.000026,0.000026,0.000000,"3.402752;3.401568;3.401568;3.404800;3.403776;3.401728;3.402752;3.402752;3.400704;3.411904","5.512177;5.514096;5.514096;5.508862;5.510519;5.513836;5.512177;5.512177;5.515497;5.497392","44.097420;44.112766;44.112766;44.070892;44.084152;44.110691;44.097420;44.097420;44.123978;43.979134","0.000026;0.000026;0.000026;0.000026;0.000026;0.000026;0.000026;0.000026;0.000026;0.000026"
./Dataset/Ga41As41H72/Ga41As41H72.mtx,CSR CPU,268096,268096,9378286,0,0,36.141998,37.929001,36.823902,36.819454,0.604329,0.494518,0.518969,0.509481,0.509420,0.008311,3.023655,3.173156,3.115146,3.114772,0.050819,0.000000,0.000000,0.000000,0.000000,0.000000,"37.196999;37.275002;37.323002;36.554001;36.162998;36.141998;36.979000;36.293999;37.929001;36.382999","0.504250;0.503194;0.502547;0.513120;0.518668;0.518969;0.507222;0.516795;0.494518;0.515531","3.083157;3.076705;3.072748;3.137391;3.171314;3.173156;3.101333;3.159867;3.023655;3.152137",""
./Dataset/Ga41As41H72/Ga41As41H72.mtx,CSR NVDA,268096,268096,9378286,256,1048,8.438784,8.506368,8.470324,8.470302,0.020215,2.205004,2.222663,2.214398,2.214392,0.005286,13.482159,13.590134,13.539599,13.539565,0.032319,0.000013,0.000013,0.000013,0.000013,0.000000,"8.482816;8.472576;8.470528;8.462336;8.438784;8.440832;8.473600;8.506368;8.468480;8.486912","2.211126;2.213798;2.214333;2.216477;2.222663;2.222123;2.213531;2.205004;2.214869;2.210058","13.519591;13.535930;13.539204;13.552311;13.590134;13.586836;13.534294;13.482159;13.542477;13.513066","0.000013;0.000013;0.000013;0.000013;0.000013;0.000013;0.000013;0.000013;0.000013;0.000013"
./Dataset/Ga41As41H72/Ga41As41H72.mtx,CSR Vector NVDA,268096,268096,9378286,256,33512,4.377600,4.414464,4.386508,4.386492,0.012708,4.248890,4.284670,4.276000,4.275984,0.012338,25.979191,26.197962,26.144953,26.144854,0.075435,0.000026,0.000026,0.000026,0.000026,0.000000,"4.377600;4.383744;4.379648;4.378624;4.405248;4.379648;4.383744;4.414464;4.383744;4.378624","4.284670;4.278665;4.282667;4.283668;4.257779;4.282667;4.278665;4.248890;4.278665;4.283668","26.197962;26.161245;26.185711;26.191835;26.033541;26.185711;26.161245;25.979191;26.161245;26.191835","0.000026;0.000026;0.000026;0.000026;0.000026;0.000026;0.000026;0.000026;0.000026;0.000026"
./Dataset/Ga41As41H72/Ga41As41H72.mtx,CSR cuSparse NVDA,268096,268096,9378286,0,0,2.618368,2.626560,2.622358,2.622358,0.002181,7.141117,7.163459,7.152564,7.152561,0.005949,43.663273,43.799881,43.733257,43.733242,0.036373,0.000026,0.000026,0.000026,0.000026,0.000000,"2.622464;2.623488;2.622464;2.623488;2.620416;2.621440;2.618368;2.626560;2.623456;2.621440","7.152270;7.149479;7.152270;7.149479;7.157860;7.155065;7.163459;7.141117;7.149566;7.155065","43.731468;43.714401;43.731468;43.714401;43.765648;43.748550;43.799881;43.663273;43.714931;43.748550","0.000026;0.000026;0.000026;0.000026;0.000026;0.000026;0.000026;0.000026;0.000026;0.000026"
./Dataset/ldoor/ldoor.mtx,COO CPU,952203,952203,23737340,0,0,129.895996,159.983002,137.131012,136.847626,9.596188,0.296748,0.365482,0.347591,0.346916,0.022126,2.373986,2.923858,2.780726,2.775331,0.177007,0.000000,0.000000,0.000000,0.000000,0.000000,"135.100998;134.438004;130.511002;129.895996;130.136993;131.574997;159.983002;147.669006;137.677994;134.322006","0.351401;0.353134;0.363760;0.365482;0.364805;0.360818;0.296748;0.321494;0.344824;0.353439","2.811211;2.825075;2.910080;2.923858;2.918443;2.886547;2.373986;2.571951;2.758592;2.827515",""
./Dataset/ldoor/ldoor.mtx,COO NVDA,952203,952203,23737340,256,92724,26.228737,26.473473,26.301733,26.301611,0.084999,1.793293,1.810025,1.805019,1.805010,0.005813,14.346340,14.480203,14.440150,14.440083,0.046503,1.587323,1.636398,1.612474,1.612407,0.015486,"26.430464;26.473473;26.320896;26.281984;26.282881;26.237951;26.242048;26.285055;26.228737;26.233856","1.796211;1.793293;1.803688;1.806358;1.806297;1.809390;1.809107;1.806147;1.810025;1.809672","14.369685;14.346340;14.429503;14.450866;14.450373;14.475118;14.472858;14.449178;14.480203;14.477378","1.599025;1.620424;1.613563;1.587323;1.594417;1.604950;1.622251;1.622881;1.636398;1.623505"
./Dataset/ldoor/ldoor.mtx,COO cuSparse,952203,952203,23737340,0,0,8.628224,8.636416,8.632592,8.632591,0.002736,5.497035,5.502254,5.499471,5.499470,0.001743,43.976276,44.018032,43.995766,43.995762,0.013942,1.356978,1.356978,1.356978,1.356978,0.000000,"8.632320;8.631296;8.628224;8.629248;8.636416;8.634208;8.631296;8.632320;8.636224;8.634368","5.499643;5.500296;5.502254;5.501602;5.497035;5.498441;5.500296;5.499643;5.497157;5.498339","43.997143;44.002365;44.018032;44.012814;43.976276;43.987530;44.002365;43.997143;43.977257;43.986713","1.356978;1.356978;1.356978;1.356978;1.356978;1.356978;1.356978;1.356978;1.356978;1.356978"
